Zone,PRECIP,TMPMAX,WINDLY,Irrg_Yes,Damage_No,Dreason_Weeds,Dreason_ShortageSeed,Dreason_UseBadCrop,Dmchem_Herbicide,Dmchem_Fungicide,D22a_DAP,D23_Compost,Fweight,Area,Yield,Irrg_No
0.6666666666666667,0.5047139432645285,0.361369781246756,0.9175463384094971,0.0,0.02190923317683881,0.0,0.1,0.0,0.0,0.0,0.0,0.03529411764705882,0.44206470653702845,0.5262968535141734,0.3096931142148246,0.012535382126971289
0.6666666666666667,0.7553230742000423,0.0199811553445004,0.12657914761727626,0.08823529411764705,0.07042253521126761,0.0,0.0,0.0,0.0,0.0,0.02247191011235955,0.03137254901960784,0.6013900290214484,0.6899693821480072,0.3383394841306544,0.04164981803477557
0.0,0.6909581939635858,0.3458000496585978,0.07730010837989094,0.029411764705882353,0.4835680751173709,0.02551020408163265,0.0,0.02197802197802198,0.17866666666666667,0.04054054054054054,0.599250936329588,0.011764705882352941,0.8607635780957901,0.924464687967028,0.6260757208518235,0.31500202183582693
0.3333333333333333,0.48662598512564736,0.14070695822987567,0.041335399406376296,0.0,0.020344287949921755,0.0,0.0,0.0,0.005333333333333333,0.0,0.0,0.00392156862745098,0.5086634614446812,0.5432711883846075,0.15123670202647205,0.012535382126971289
0.0,0.37578484584451965,0.8462818023796173,0.8994148561309867,0.17531718569780855,0.22383319524993092,0.048919567827130854,0.0,0.057530704589528116,0.05850980392156863,0.013513513513513514,0.13549239920687378,0.16301422529796233,0.8299793527385992,0.12404450120004445,0.2526963926326615,0.2390127098150219
1.0,0.5595173231014678,0.838226073925135,0.641525423012638,0.0,0.04773082942097027,0.0,0.0,0.0,0.021333333333333333,0.0,0.0,0.0,0.42150744998416756,0.5934379824787515,0.3640634814079349,0.027092600080873434
0.6666666666666667,0.5047139432645285,0.361369781246756,0.9175463384094971,0.11764705882352941,0.06729264475743349,0.015306122448979591,0.0,0.01098901098901099,0.0,0.0,0.0299625468164794,0.09411764705882353,0.6684376386379371,0.7125477257512787,0.2946591995072546,0.07399919126566923
0.6666666666666667,0.47276059061510667,0.012014722357924335,0.14398988020642978,0.20588235294117646,0.9514866979655712,0.0510204081632653,0.2,0.9230769230769231,0.013333333333333332,0.0,0.3595505617977528,0.3058823529411765,0.9422633892143124,0.8929100215140653,0.2849975265107343,0.7957945814799838
0.3333333333333333,0.5860126848846146,0.19209176230013547,0.06314638201398637,0.08823529411764705,0.2104851330203443,0.05612244897959183,0.0,0.02197802197802198,0.288,0.0,0.07116104868913858,0.09803921568627451,0.9149665006448053,0.8525201238879492,0.28212741861750046,0.3263243024666397
0.3333333333333333,0.5252342936745391,0.34926774006368255,0.1327032586900812,0.4117647058823529,0.45539906103286387,0.04591836734693877,0.0,0.16483516483516486,0.03733333333333333,0.0,0.0449438202247191,0.3176470588235294,0.9095550499508422,0.8480161249278106,0.26477221960500075,0.5855236554791751
1.0,0.6602446732346863,0.7636901240577938,0.443043498418371,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.003745318352059925,0.0,0.2878456890851109,0.4792011517070026,0.20162682743934188,0.003234937323089365
1.0,0.5595173231014678,0.838226073925135,0.641525423012638,0.058823529411764705,0.28169014084507044,0.1683673469387755,0.0,0.18681318681318682,0.013333333333333332,0.013513513513513514,0.00749063670411985,0.0392156862745098,0.6678141288703472,0.6636348948044272,0.29485365387806817,0.23776789324706832
0.0,0.8879568305969854,0.23685856993761334,0.34225030795523687,0.0,0.02269170579029734,0.0,0.0,0.0,0.0,0.0,0.018726591760299626,0.0,0.4796134270633827,0.429808508219208,0.22243323965482673,0.014152850788515971
